Subregion,Country
8501,Aruba
7304,Barbados
55,Belize
1101,Bermuda
8503,Bonaire
65,British Virgin Islands
52,Cayman Islands
83,Colombia
81,Costa Rica
51,Cuba
8502,Curaçao
7112,Dominica
62,Dominican Republic
56,Guatemala
61,Haiti
57,Honduras
53,Jamaica
7301,Martinique
25,Mexico
26,Mexico
27,Mexico
28,Mexico
29,Mexico
54,Mexico
5306,Navassa Island
58,Nicaragua
82,Panama
63,Puerto Rico
71040022,Saba Bank
71040023,Saba Bank
71040024,Saba Bank
7107,Saint Kitts and Nevis
7306,Saint Kitts and Nevis
7103,St. Barthélemy
7105,St. Eustatius
7302,St. Lucia
7303,St. Vincent and the Grenadines
7306,St. Vincent and the Grenadines
41,The Bahamas
42,The Bahamas
43,The Bahamas
86,Trinidad and Tobago
44,Turks and Caicos
64,U.S. Virgin Islands
3,United States
21,United States
22,United States
23,United States
24,United States
84,Venezuela
